,MSE,MAE,R2
Linear Regression,1.5924177946497962,1.052148502409313,0.3003771781450262
Decision Tree Regression,0.11082710666471189,0.21514961984036257,0.9513085238287984
Random Forest Regression,0.08656899545511348,0.19182817887092563,0.9619662345592059
