,Importance
Votes,0.9632621961413415
Longitude,0.011100149798040648
Latitude,0.007868451782016051
Cuisines_enc,0.006996600913973186
Average Cost for two,0.004340923943035615
Country Code,0.003333624954011227
City_enc,0.0015887128895303965
Price range,0.0005994470167060698
Has Online delivery_enc,0.0005588186493784296
Has Table booking_enc,0.00027943166239191277
Is delivering now_enc,7.164224957502805e-05
